MasterID,7et Problem,4c pickup,6et pickup,6e pickup,6eStar pickup,NEW
30191,04.06.09,04.04.09, , , ,
30192,04.06.10,04.04.10, , , ,
02398,04.06.11a,04.05.55a, , , ,
05062,04.06.11b,04.05.55b, , , ,
05063,04.06.11c,04.05.55c, , , ,
02399,04.06.12a,04.05.56a, , , ,
05064,04.06.12b,04.05.56b, , , ,
05065,04.06.12c,04.05.56c, , , ,
02402,04.06.13,04.04.11, , , ,
80358,04.06.14,04.04.12, , , ,
02404,04.06.15,04.04.13, , , ,
80359,04.06.16,04.04.14, , , ,
82980,04.06.17,..,..,..,..,new
80361,04.06.18,04.04.16, , , ,
80362,04.06.19,04.04.17, , , ,
80363,04.06.20,04.04.18, , , ,
02408,04.06.21,04.04.19, , , ,
02409,04.06.22,..,04.06.22, , ,
82981,04.06.23,..,..,..,..,new
82011,04.06.24,04.04.20, , , ,
02410,04.06.25a,04.05.57a, , , ,
05066,04.06.25b,04.05.57b, , , ,
05067,04.06.25c,04.05.57c, , , ,
05068,04.06.25d,04.05.57d, , , ,
02411,04.06.26a,04.05.58a, , , ,
05069,04.06.26b,04.05.58b, , , ,
05070,04.06.26c,04.05.58c, , , ,
05071,04.06.26d,04.05.58d, , , ,
02412,04.06.27,04.04.21, , , ,
02413,04.06.28,04.04.28, , , ,
82982,04.06.29,..,..,..,..,new
80364,04.06.30,..,04.06.28, , ,
82012,04.06.31,04.04.29, , , ,
02417,04.06.32,04.04.30, , , ,
02418,04.06.33,04.04.31, , , ,
82983,04.06.34,..,..,..,..,new
02420,04.06.35,04.04.33, , , ,
02421,04.06.36,04.04.26, , , ,
02422,04.06.37,04.05.59, , , ,
02423,04.06.38,04.04.34, , , ,
02424,04.06.39a,04.04.35a, , , ,
05047,04.06.39b,04.04.35b, , , ,
02425,04.06.40a,04.04.36a, , , ,
05048,04.06.40b,04.04.36b, , , ,
02533,04.07.01a,04.06.01a, , , ,
05074,04.07.01b,04.06.01b, , , ,
02534,04.07.02,04.06.02, , , ,
02535,04.07.03,04.06.03, , , ,
82018,04.07.04,04.06.04, , , ,
82970,04.07.05,..,..,..,..,new
82971,04.07.06,..,..,..,..,new
02537,04.07.07,04.06.05, , , ,
02538,04.07.08,04.06.06, , , ,
80365,04.07.09,04.06.07, , , ,
80366,04.07.10,04.06.08, , , ,
02539,04.07.11a,04.06.09a, , , ,
05075,04.07.11b,04.06.09b, , , ,
05076,04.07.11c,04.06.09c, , , ,
05077,04.07.11d,04.06.09d, , , ,
05078,04.07.11e,04.06.09e, , , ,
05079,04.07.11f,04.06.09f, , , ,
02540,04.07.12a,04.06.10a, , , ,
05080,04.07.12b,04.06.10b, , , ,
05081,04.07.12c,04.06.10c, , , ,
05082,04.07.12d,04.06.10d, , , ,
05083,04.07.12e,04.06.10e, , , ,
05084,04.07.12f,04.06.10f, , , ,
02541,04.07.13,..,04.07.11, , ,
02542,04.07.14,04.06.12, , , ,
02543,04.07.15,04.06.11, , , ,
02544,04.07.16,04.06.14, , , ,
02545,04.07.17,..,04.07.15, , ,
02546,04.07.18a,04.06.13a, , , ,
